gameID,officialName,officialType
2010020156,Dan O'Rourke,Referee
2010020156,Brad Meier,Referee
2010020156,Darren Gibbs,Linesman
2010020156,Thor Nelson,Linesman
2010020157,Stephen Walkom,Referee
2010020157,Chris Lee,Referee
2010020157,Michel Cormier,Linesman
2010020157,Andy McElman,Linesman
2010020158,Stephane Auger,Referee
2010020158,Kevin Pollock,Referee
2010020158,Pierre Racicot,Linesman
2010020158,Lonnie Cameron,Linesman
2010020159,Dennis LaRue,Referee
2010020159,Francois StLaurent,Referee
2010020159,Scott Driscoll,Linesman
2010020159,Don Henderson,Linesman
2010020160,Bill McCreary,Referee
2010020160,Ian Walsh,Referee
2010020160,Scott Cherrey,Linesman
2010020160,Brad Kovachik,Linesman
2010020161,Mike Leggo,Referee
2010020161,Justin StPierre,Referee
2010020161,Pierre Racicot,Linesman
2010020161,Lonnie Cameron,Linesman
2010020162,Brian Pochmara,Referee
2010020162,Don VanMassenhoven,Referee
2010020162,Bryan Pancich,Linesman
2010020162,David Brisebois,Linesman
2010020163,Brad Watson,Referee
2010020163,Brad Meier,Referee
2010020163,Jay Sharrers,Linesman
2010020163,Scott Driscoll,Linesman
2010020164,Chris Lee,Referee
2010020164,Steve Kozari,Referee
2010020164,Scott Cherrey,Linesman
2010020164,Steve Miller,Linesman
2010020165,Wes McCauley,Referee
2010020165,Eric Furlatt,Referee
2010020165,Tim Nowak,Linesman
2010020165,Brian Murphy,Linesman
2010020166,Chris Rooney,Referee
2010020166,Kelly Sutherland,Referee
2010020166,Michel Cormier,Linesman
2010020166,Andy McElman,Linesman
2010020167,Paul Devorski,Referee
2010020167,Gord Dwyer,Referee
2010020167,Darren Gibbs,Linesman
2010020167,Jonny Murray,Linesman
2010020168,Stephane Auger,Referee
2010020168,Don VanMassenhoven,Referee
2010020168,Dan Schachte,Linesman
2010020168,David Brisebois,Linesman
2010020169,Dave Jackson,Referee
2010020169,Tom Kowal,Referee
2010020169,Ryan Galloway,Linesman
2010020169,Mark Shewchyk,Linesman
2010020170,Brad Watson,Referee
2010020170,Francois StLaurent,Referee
2010020170,Jay Sharrers,Linesman
2010020170,Scott Driscoll,Linesman
2010020171,Dan O'Halloran,Referee
2010020171,Rob Martell,Referee
2010020171,Thor Nelson,Linesman
2010020171,Brad Lazarowich,Linesman
2010020172,Tim Peel,Referee
2010020172,Dean Morton,Referee
2010020172,Greg Devorski,Linesman
2010020172,Vaughan Rody,Linesman
2010020173,Justin StPierre,Referee
2010020173,Marc Joannette,Referee
2010020173,Lonnie Cameron,Linesman
2010020173,Tony Sericolo,Linesman
2010020174,Mike Leggo,Referee
2010020174,Gord Dwyer,Referee
2010020174,Derek Amell,Linesman
2010020174,Michel Cormier,Linesman
2010020175,Bill McCreary,Referee
2010020175,Ian Walsh,Referee
2010020175,Pierre Champoux,Linesman
2010020175,Brad Kovachik,Linesman
2010020176,Dan O'Rourke,Referee
2010020176,Brian Pochmara,Referee
2010020176,Mark Wheler,Linesman
2010020176,David Brisebois,Linesman
2010020177,Dennis LaRue,Referee
2010020177,Tom Kowal,Referee
2010020177,Brad Lazarowich,Linesman
2010020177,Mike Cvik,Linesman
2010020178,Tim Peel,Referee
2010020178,Dean Morton,Referee
2010020178,Brian Mach,Linesman
2010020178,Thor Nelson,Linesman
2010020179,Mike Leggo,Referee
2010020179,Chris Rooney,Referee
2010020179,Steve Barton,Linesman
2010020179,Tim Nowak,Linesman
2010020180,Marc Joannette,Referee
2010020180,Steve Kozari,Referee
2010020180,Derek Nansen,Linesman
2010020180,Tony Sericolo,Linesman
2010020181,Greg Kimmerly,Referee
2010020181,Stephen Walkom,Referee
2010020181,Brad Kovachik,Linesman
2010020181,Bryan Pancich,Linesman
2010020182,Paul Devorski,Referee
2010020182,Ghislain Hebert,Referee
2010020182,Pierre Racicot,Linesman
2010020182,Darren Gibbs,Linesman
2010020183,Brad Watson,Referee
2010020183,Rob Martell,Referee
2010020183,Scott Driscoll,Linesman
2010020183,Andy McElman,Linesman
2010020184,Dave Jackson,Referee
2010020184,Francois StLaurent,Referee
2010020184,Ryan Galloway,Linesman
2010020184,Mark Shewchyk,Linesman
2010020185,Stephane Auger,Referee
2010020185,Don VanMassenhoven,Referee
2010020185,Jay Sharrers,Linesman
2010020185,Don Henderson,Linesman
2010020186,Kelly Sutherland,Referee
2010020186,Kyle Rehman,Referee
2010020186,Greg Devorski,Linesman
2010020186,Brian Mach,Linesman
2010020187,Kelly Sutherland,Referee
2010020187,Dean Morton,Referee
2010020187,Shane Heyer,Linesman
2010020187,Ryan Galloway,Linesman
2010020188,Eric Furlatt,Referee
2010020188,Ian Walsh,Referee
2010020188,Steve Barton,Linesman
2010020188,Brian Murphy,Linesman
2010020189,Chris Rooney,Referee
2010020189,Kevin Pollock,Referee
2010020189,Steve Miller,Linesman
2010020189,Bryan Pancich,Linesman
2010020190,Mike Leggo,Referee
2010020190,Greg Kimmerly,Referee
2010020190,Michel Cormier,Linesman
2010020190,Tim Nowak,Linesman
2010020191,Justin StPierre,Referee
2010020191,Marc Joannette,Referee
2010020191,Scott Cherrey,Linesman
2010020191,Brad Kovachik,Linesman
2010020192,Gord Dwyer,Referee
2010020192,Steve Kozari,Referee
2010020192,Derek Nansen,Linesman
2010020192,Tony Sericolo,Linesman
2010020193,Wes McCauley,Referee
2010020193,Paul Devorski,Referee
2010020193,Darren Gibbs,Linesman
2010020193,Jonny Murray,Linesman
2010020194,Dan O'Halloran,Referee
2010020194,Tom Kowal,Referee
2010020194,Mark Wheler,Linesman
2010020194,Derek Amell,Linesman
2010020195,Dennis LaRue,Referee
